GeneID	Normal 6	Tumor 6	Normal 10	Tumor 10	Normal 9	Tumor 9	Normal 5	Tumor 5	Normal 8	Tumor 8	Normal 3	Tumor 3	Normal 2	Tumor 2	Normal 1	Tumor 1	Normal 4	Tumor 4	Normal 7	Tumor 7
USP3	11.34103029	37.86948234	13.10698108	12.34620947	17.83229508	15.77584674	15.98204349	16.33289811	14.31398716	17.99230732	12.33873816	14.95726077	13.88363642	11.52276585	9.451175808	15.81787064	14.09415313	16.09840535	21.08977341	23.42524962
CSGALNACT2	21.57020624	14.43995562	32.5164542	24.61075985	15.82647488	9.398247283	17.5664624	13.54257253	27.27301592	3.718609894	14.55557351	14.69437853	15.56221388	30.94248244	20.65019986	12.98327136	12.74170859	13.0721973	17.88116525	8.745461222
USP2	1.549852615	0.235874034	0.535163288	0.86917089	0.8343307	0.309248096	1.334470464	1.124418812	0.73608583	2.294488461	1.149190232	0.586254331	1.893157226	2.243633691	3.49934025	1.653339599	0.681119525	0.509118669	0.925187587	0.724554924
LOC101927174	0.694029067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4477B	7.407260849	42.91022273	27.33011237	44.20079942	11.43147198	0	12.44662406	20.41411169	30.28889332	12.16532618	7.469008941	15.13028338	6.843046164	10.60523529	6.250855179	22.71241909	8.853691377	13.9314274	9.136839318	5.858270587
RPL34P23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL34P24	4.876750801	4.474500467	3.165144216	3.472239523	8.417720278	4.776923352	8.79342629	5.263266992	5.414400792	5.227540693	2.655127316	6.942787671	4.77833396	6.664841833	1.920521367	5.93453531	8.76765237	6.758385744	7.656041221	10.30853614
LOC101927172	0	2.659026917	0.073761799	0.76423001	0.459984715	1.577080797	0.486102483	0.26064676	0.134065593	0.517755055	0.676218023	2.272200052	0.473263951	0.488970889	0.484185094	0.648583094	0.178129409	1.703865258	0.449352753	0.324125627
RPL34P21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHD1L	8.640012397	9.119913862	10.98640574	16.12435413	16.27275872	24.47747467	14.69927117	16.39259047	12.38507989	27.58366358	9.205725994	16.59505433	12.41216963	12.67098767	8.109231082	14.37617377	18.56498995	12.81530559	15.41291959	17.58514988
RPL34P22	1.078145784	0.145732832	0	0.52775129	0	1.815130729	0.559476442	0.199993112	0.617207637	0	0.172953037	1.101125745	0.217880008	0.450222253	1.592198961	1.119723643	0.205016867	1.307368311	0.258589792	0.4476603
RPL34P27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927178	0.211868527	0.420027558	0.44488028	1.044776517	0.439265821	3.170621102	0.798110585	0.6462837	0.350389505	0.145727926	0.694852246	1.154049943	0.589909672	1.336941224	0.500617789	0.293385431	1.145977281	1.027653971	0.903395263	1.081712528
LOC101927179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL34P28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
